close,high,low,open,volume,datetime
6169.81,6173.93,6168.08,6171.2,319749.6,2020-03-20 02:46:00
6161.79,6178.44,6160.0,6169.81,424503.98,2020-03-20 02:47:00
6151.54,6170.88,6150.01,6161.79,614515.15,2020-03-20 02:48:00
6158.35,6165.12,6150.01,6151.54,520603.87,2020-03-20 02:49:00
6158.94,6160.23,6151.12,6158.35,352695.95,2020-03-20 02:50:00
6150.04,6161.66,6150.0,6158.94,339619.37,2020-03-20 02:51:00
6143.99,6151.57,6142.9,6150.04,444760.45,2020-03-20 02:52:00
6147.91,6157.49,6140.67,6143.99,356970.34,2020-03-20 02:53:00
6157.02,6159.99,6147.72,6147.91,121588.99,2020-03-20 02:54:00
6154.72,6166.26,6154.13,6157.02,286650.38,2020-03-20 02:55:00
6160.41,6164.01,6151.12,6154.72,110646.68,2020-03-20 02:56:00
6155.43,6162.03,6153.84,6160.41,263598.15,2020-03-20 02:57:00
6147.84,6155.43,6147.84,6155.43,630345.49,2020-03-20 02:58:00
6150.04,6153.71,6147.84,6147.84,170552.0,2020-03-20 02:59:00
6151.16,6155.04,6149.8,6150.04,963250.22,2020-03-20 03:00:00
6135.15,6151.16,6132.08,6151.16,613241.42,2020-03-20 03:01:00
6115.63,6135.44,6114.78,6135.15,813398.07,2020-03-20 03:02:00
6124.06,6129.71,6114.73,6115.63,570863.36,2020-03-20 03:03:00
6128.96,6129.0,6124.06,6124.06,199160.94,2020-03-20 03:04:00
6123.83,6129.56,6123.19,6128.96,358740.19,2020-03-20 03:05:00
6128.8,6132.73,6121.65,6123.83,546217.85,2020-03-20 03:06:00
6131.97,6133.46,6127.72,6128.8,156619.89,2020-03-20 03:07:00
6140.56,6144.44,6131.91,6131.97,250883.15,2020-03-20 03:08:00
6147.05,6153.73,6138.75,6140.56,354407.09,2020-03-20 03:09:00
6150.15,6152.43,6144.28,6147.05,328425.91,2020-03-20 03:10:00
6153.65,6153.73,6150.0,6150.15,80036.83,2020-03-20 03:11:00
6150.94,6155.81,6150.16,6153.65,177158.85,2020-03-20 03:12:00
6153.32,6154.83,6150.17,6150.94,48912.49,2020-03-20 03:13:00
6167.35,6168.99,6152.78,6153.32,295792.69,2020-03-20 03:14:00
6155.89,6168.94,6154.66,6167.35,267736.51,2020-03-20 03:15:00
6154.56,6158.22,6153.74,6155.89,84903.9,2020-03-20 03:16:00
6155.64,6160.38,6152.2,6154.56,204272.94,2020-03-20 03:17:00
6158.56,6160.7,6153.93,6155.64,119006.81,2020-03-20 03:18:00
6151.27,6158.56,6151.11,6158.56,140001.93,2020-03-20 03:19:00
6148.88,6153.31,6145.01,6151.27,334492.75,2020-03-20 03:20:00
6143.72,6148.88,6143.42,6148.88,104784.32,2020-03-20 03:21:00
6135.62,6143.86,6133.23,6143.72,217408.42,2020-03-20 03:22:00
6141.07,6145.53,6135.01,6135.62,368855.03,2020-03-20 03:23:00
6141.65,6146.07,6138.78,6141.07,57974.58,2020-03-20 03:24:00
6144.78,6145.51,6140.78,6141.65,136786.8,2020-03-20 03:25:00
6140.23,6145.92,6138.86,6144.78,35250.8,2020-03-20 03:26:00
6145.43,6145.55,6138.23,6140.23,116300.21,2020-03-20 03:27:00
6136.72,6145.43,6136.72,6145.43,146244.29,2020-03-20 03:28:00
6142.09,6144.45,6136.07,6136.72,64167.53,2020-03-20 03:29:00
6137.46,6145.28,6137.06,6142.09,130001.43,2020-03-20 03:30:00
6138.01,6140.0,6137.46,6137.46,57394.7,2020-03-20 03:31:00
6124.95,6138.01,6122.48,6138.01,160128.97,2020-03-20 03:32:00
6124.34,6134.16,6122.26,6124.95,221376.23,2020-03-20 03:33:00
6117.8,6124.69,6115.0,6124.34,297634.21,2020-03-20 03:34:00
6129.7,6131.55,6115.0,6117.8,271744.48,2020-03-20 03:35:00
6134.26,6138.2,6128.76,6129.7,112000.63,2020-03-20 03:36:00
6125.39,6137.3,6120.94,6134.26,228999.09,2020-03-20 03:37:00
6121.0,6128.26,6121.0,6125.39,81065.79,2020-03-20 03:38:00
6115.02,6122.0,6115.0,6121.0,93388.13,2020-03-20 03:39:00
6116.39,6117.1,6112.45,6115.02,209064.31,2020-03-20 03:40:00
6114.43,6116.66,6113.17,6116.39,116156.07,2020-03-20 03:41:00
6117.79,6128.47,6114.41,6114.43,415672.27,2020-03-20 03:42:00
6127.19,6131.8,6115.25,6117.79,355691.37,2020-03-20 03:43:00
6129.14,6129.19,6121.08,6127.19,184605.95,2020-03-20 03:44:00
6122.5,6131.0,6122.11,6129.14,126093.98,2020-03-20 03:45:00
6125.15,6129.04,6121.22,6122.5,218861.51,2020-03-20 03:46:00
6138.74,6141.77,6125.06,6125.15,222856.69,2020-03-20 03:47:00
6154.37,6158.2,6137.58,6138.74,372175.33,2020-03-20 03:48:00
6158.45,6164.05,6150.12,6154.37,415338.37,2020-03-20 03:49:00
6153.31,6167.83,6150.85,6158.45,336011.38,2020-03-20 03:50:00
6157.73,6160.0,6151.99,6153.31,106065.73,2020-03-20 03:51:00
6160.21,6161.38,6153.98,6157.73,218672.32,2020-03-20 03:52:00
6155.19,6161.55,6154.43,6160.21,314088.18,2020-03-20 03:53:00
6155.14,6163.21,6153.36,6155.19,103629.12,2020-03-20 03:54:00
6151.23,6158.49,6151.16,6155.14,99656.68,2020-03-20 03:55:00
6146.92,6151.41,6144.59,6151.23,174259.49,2020-03-20 03:56:00
6145.87,6154.24,6144.68,6146.92,82468.49,2020-03-20 03:57:00
6143.86,6148.04,6141.17,6145.87,140915.65,2020-03-20 03:58:00
6156.35,6160.81,6143.12,6143.86,306534.62,2020-03-20 03:59:00
6136.77,6157.59,6133.02,6156.35,303266.01,2020-03-20 04:00:00
6127.16,6136.77,6123.81,6136.77,380840.17,2020-03-20 04:01:00
6131.33,6137.21,6124.92,6127.16,309524.14,2020-03-20 04:02:00
6125.34,6131.59,6125.0,6131.33,67849.98,2020-03-20 04:03:00
6129.93,6129.99,6118.13,6125.34,214474.51,2020-03-20 04:04:00
6130.5,6137.4,6128.87,6129.93,261501.66,2020-03-20 04:05:00
6127.18,6130.79,6126.76,6130.5,96887.6,2020-03-20 04:06:00
6122.91,6127.96,6115.99,6127.18,539696.53,2020-03-20 04:07:00
6119.37,6125.01,6116.91,6122.91,195054.41,2020-03-20 04:08:00
6120.92,6127.24,6118.0,6119.37,448400.52,2020-03-20 04:09:00
6128.9,6129.21,6120.89,6120.92,265959.37,2020-03-20 04:10:00
6140.3,6141.21,6128.0,6128.9,338066.22,2020-03-20 04:11:00
6132.85,6141.13,6130.03,6140.3,135759.19,2020-03-20 04:12:00
6134.47,6141.72,6132.85,6132.85,79810.9,2020-03-20 04:13:00
6132.19,6135.68,6128.59,6134.47,133042.87,2020-03-20 04:14:00
6128.65,6132.19,6126.82,6132.19,114723.98,2020-03-20 04:15:00
6124.64,6129.75,6122.0,6128.65,138890.5,2020-03-20 04:16:00
6138.31,6139.92,6123.43,6124.64,190629.77,2020-03-20 04:17:00
6143.25,6146.0,6135.56,6138.31,658114.64,2020-03-20 04:18:00
6143.85,6144.18,6133.91,6143.25,214969.19,2020-03-20 04:19:00
6149.02,6154.24,6140.32,6143.85,354092.88,2020-03-20 04:20:00
6154.98,6155.0,6145.8,6149.02,423927.3,2020-03-20 04:21:00
6154.47,6155.04,6147.72,6154.98,154284.21,2020-03-20 04:22:00
6159.3,6160.0,6153.0,6154.47,130661.61,2020-03-20 04:23:00
6156.87,6159.94,6155.38,6159.3,193475.95,2020-03-20 04:24:00
6143.86,6156.87,6139.18,6156.87,354685.94,2020-03-20 04:25:00
6142.55,6148.82,6137.56,6143.86,189050.92,2020-03-20 04:26:00
6156.37,6159.99,6139.0,6142.55,465213.33,2020-03-20 04:27:00
6158.37,6159.94,6151.97,6156.37,184848.97,2020-03-20 04:28:00
6163.51,6164.46,6156.35,6158.37,237087.87,2020-03-20 04:29:00
6153.46,6165.0,6150.19,6163.51,238705.49,2020-03-20 04:30:00
6159.09,6159.98,6151.35,6153.46,117664.6,2020-03-20 04:31:00
6148.69,6160.0,6146.07,6159.09,319811.34,2020-03-20 04:32:00
6143.43,6149.02,6139.09,6148.69,203941.78,2020-03-20 04:33:00
6148.21,6150.33,6143.43,6143.43,104495.29,2020-03-20 04:34:00
6154.99,6155.0,6147.27,6148.21,116123.5,2020-03-20 04:35:00
6151.85,6155.98,6148.17,6154.99,170957.18,2020-03-20 04:36:00
6148.37,6152.88,6146.73,6151.85,273486.58,2020-03-20 04:37:00
6161.41,6161.41,6148.37,6148.37,172355.43,2020-03-20 04:38:00
6180.65,6181.57,6161.32,6161.41,579394.24,2020-03-20 04:39:00
6176.0,6192.61,6172.54,6180.65,920403.75,2020-03-20 04:40:00
6178.96,6191.63,6174.86,6176.0,538250.62,2020-03-20 04:41:00
6189.11,6190.96,6177.35,6178.96,339083.56,2020-03-20 04:42:00
6187.77,6190.47,6177.09,6189.11,530205.97,2020-03-20 04:43:00
6204.9,6206.84,6186.91,6187.77,809377.33,2020-03-20 04:44:00
6211.2,6215.17,6192.38,6204.9,719255.31,2020-03-20 04:45:00
6209.38,6213.62,6204.96,6211.2,209633.03,2020-03-20 04:46:00
6199.1,6209.9,6197.17,6209.38,422472.03,2020-03-20 04:47:00
6212.35,6213.33,6197.47,6199.1,881342.75,2020-03-20 04:48:00
6210.4,6222.0,6210.4,6212.35,551828.5,2020-03-20 04:49:00
6215.57,6229.9,6209.07,6210.4,1027023.38,2020-03-20 04:50:00
6212.17,6222.73,6211.16,6215.57,552791.63,2020-03-20 04:51:00
6206.91,6214.85,6203.7,6212.17,452761.79,2020-03-20 04:52:00
6219.09,6220.0,6205.41,6206.91,177975.67,2020-03-20 04:53:00
6210.78,6220.07,6209.03,6219.09,358309.34,2020-03-20 04:54:00
6213.36,6214.69,6210.73,6210.78,153636.0,2020-03-20 04:55:00
6220.29,6221.3,6212.1,6213.36,310892.05,2020-03-20 04:56:00
6214.73,6223.2,6213.23,6220.29,284796.97,2020-03-20 04:57:00
6201.69,6214.73,6200.0,6214.73,524859.94,2020-03-20 04:58:00
6199.84,6201.69,6190.8,6201.69,474722.8,2020-03-20 04:59:00
6201.46,6212.6,6199.32,6199.84,361224.07,2020-03-20 05:00:00
